case,speed_kmh,aoa_deg,Cd,Cl,CmPitch,CmRoll,CmYaw
U10_AoA-2,10,-2,2.57499596e-01,6.01780220e-02,-3.89749942e-03,-1.87334170e-02,-8.42181606e-03
U10_AoA0,10,0,2.56697131e-01,8.24857430e-02,1.30717027e-03,-2.42845919e-02,-6.40626955e-03
U10_AoA2,10,2,2.56850255e-01,1.10836971e-01,5.11656784e-03,-2.54838214e-02,-5.75193642e-03
U10_AoA4,10,4,2.55346836e-01,1.37556730e-01,7.74218914e-03,-1.74317906e-02,-9.33692059e-03
U10_AoA6,10,6,2.53298076e-01,1.65696205e-01,1.24963307e-02,-1.29119520e-02,-1.17597107e-02
U10_AoA8,10,8,2.51658641e-01,1.94318641e-01,1.71197597e-02,-1.50566552e-02,-9.77829617e-03
U20_AoA-2,20,-2,2.56616445e-01,5.85094335e-02,-4.59358075e-03,-1.55323187e-02,-9.05113400e-03
U20_AoA0,20,0,2.56232762e-01,8.19493051e-02,8.90493118e-04,-2.18331098e-02,-5.97977285e-03
U20_AoA2,20,2,2.56932708e-01,1.11341789e-01,5.01269354e-03,-2.66449982e-02,-4.61246269e-03
U20_AoA4,20,4,2.54876114e-01,1.37367496e-01,7.59117788e-03,-1.96521003e-02,-8.30407586e-03
U20_AoA6,20,6,2.53304550e-01,1.66423324e-01,1.21746355e-02,-1.41646962e-02,-1.01598725e-02
U20_AoA8,20,8,2.51478531e-01,1.94287688e-01,1.68552682e-02,-1.34884205e-02,-1.09192327e-02
U30_AoA-2,30,-2,2.56366990e-01,5.83050534e-02,-4.76696863e-03,-1.72026897e-02,-8.59407819e-03
U30_AoA0,30,0,2.55867972e-01,8.13853059e-02,7.29519664e-04,-2.26501692e-02,-5.45694507e-03
U30_AoA2,30,2,2.56330474e-01,1.09914639e-01,4.72188316e-03,-2.62643235e-02,-5.51060426e-03
U30_AoA4,30,4,2.54853593e-01,1.37510809e-01,7.30769556e-03,-2.16442103e-02,-7.54164539e-03
U30_AoA6,30,6,2.53064603e-01,1.65610225e-01,1.19293986e-02,-1.22770794e-02,-1.08403449e-02
U30_AoA8,30,8,2.51270759e-01,1.94063166e-01,1.68396626e-02,-1.45740082e-02,-1.06655285e-02
U40_AoA-2,40,-2,2.56324986e-01,5.85203791e-02,-4.79253751e-03,-1.76885294e-02,-8.71411747e-03
U40_AoA0,40,0,2.55618280e-01,8.14011466e-02,5.21289742e-04,-1.99879480e-02,-6.98524055e-03
U40_AoA2,40,2,2.56158803e-01,1.09728631e-01,4.51930135e-03,-2.71303525e-02,-5.46811964e-03
U40_AoA4,40,4,2.54752512e-01,1.37937844e-01,7.36533809e-03,-2.14604408e-02,-7.90320611e-03
U40_AoA6,40,6,2.53012990e-01,1.65680435e-01,1.17871483e-02,-1.06482260e-02,-1.19699076e-02
U40_AoA8,40,8,2.51169668e-01,1.94076875e-01,1.66825407e-02,-1.50409036e-02,-1.04187770e-02
U50_AoA-2,50,-2,2.56265722e-01,5.84244847e-02,-4.87249718e-03,-1.73601126e-02,-8.60336907e-03
U50_AoA0,50,0,2.55640585e-01,8.15471997e-02,5.57102639e-04,-2.21757464e-02,-5.80198193e-03
U50_AoA2,50,2,2.55865956e-01,1.09266731e-01,4.44375829e-03,-2.79365506e-02,-4.48867410e-03
U50_AoA4,50,4,2.54785553e-01,1.38004223e-01,7.39513115e-03,-2.02372998e-02,-8.44374331e-03
U50_AoA6,50,6,2.52803730e-01,1.65287968e-01,1.15405603e-02,-7.45632006e-03,-1.29731390e-02
U50_AoA8,50,8,2.51009558e-01,1.93766410e-01,1.66564281e-02,-1.42486786e-02,-1.06328820e-02
